id,value
id_0,26.5567511016
id_1,61.5622189423
id_2,20.4767845387
id_3,28.527768538
id_4,10.3229095602
id_5,36.1823921444
id_6,39.4745529394
id_7,16.5592552469
id_8,47.8123780146
id_9,33.2883569057
id_10,38.8692984855
id_11,58.2872726884
id_12,36.5648904949
id_13,41.4132577896
id_14,26.6086121113
id_15,12.7002148353
id_16,52.6847926358
id_17,22.4939138338
id_18,19.4211911977
id_19,19.7488320544
id_20,14.9631822167
id_21,28.3557927865
id_22,36.771052267
id_23,9.38613354656
id_24,57.8903285305
id_25,44.257481255
id_26,28.3826277971
id_27,9.39624414914
id_28,29.0927106513
id_29,35.6332108463
id_30,18.5093011622
id_31,11.8243376297
id_32,16.7370298643
id_33,6.47822598168
id_34,18.2053275783
id_35,39.1940531792
id_36,19.689825321
id_37,28.4518280388
id_38,6.67603412849
id_39,59.7609933252
id_40,47.2657434946
id_41,16.7436797934
id_42,49.4880176344
id_43,18.2096454213
id_44,43.7932332967
id_45,51.1548610069
id_46,61.1212603778
id_47,39.9674499403
id_48,51.0839420676
id_49,41.5798018003
id_50,30.2434411543
id_51,24.7512881262
id_52,40.6086845908
id_53,25.2380533919
id_54,38.3163413071
id_55,39.8640784418
id_56,24.7029069968
id_57,21.9169318517
id_58,37.6370353958
id_59,31.1771662869
id_60,15.6182113073
id_61,23.3694805863
id_62,31.4809629513
id_63,54.6973275665
id_64,48.7829879102
id_65,26.4863413844
id_66,40.8510473355
id_67,54.38576999
id_68,27.8923718885
id_69,38.3509432744
id_70,64.5261853012
id_71,52.9305143857
id_72,43.4671239234
id_73,11.5103619935
id_74,12.1181001111
id_75,35.6275761948
id_76,60.2783278087
id_77,3.41867131413
id_78,44.2456603294
id_79,40.0960635366
id_80,8.20800023604
id_81,22.3386090252
id_82,7.82930424932
id_83,33.7621039056
id_84,10.8002099215
id_85,5.67141249024
id_86,16.3218363856
id_87,12.0074684225
id_88,13.4687547345
id_89,28.0968204186
id_90,30.521990032
id_91,11.4600866223
id_92,13.9330299959
id_93,7.68105911745
id_94,36.5047779494
id_95,16.3028045746
id_96,15.6024514073
id_97,8.93391375644
id_98,10.9148351169
id_99,4.26365184753
id_100,13.0310982926
id_101,18.4984559673
id_102,11.3645839938
id_103,5.57631870129
id_104,14.0344344092
id_105,37.0911889974
id_106,27.7542730745
id_107,8.10808349573
id_108,16.6425983023
id_109,16.4359888441
id_110,14.3501403202
id_111,17.5556986253
id_112,13.3597369539
id_113,28.48671339
id_114,22.0701681667
id_115,15.4253658119
id_116,9.116541197
id_117,44.623528611
id_118,29.4408241448
id_119,1.73938717413
id_120,2.20033149031
id_121,11.5275660255
id_122,15.7555601309
id_123,15.4693705482
id_124,6.80536987616
id_125,26.2927435513
id_126,21.2546397976
id_127,13.6484178111
id_128,20.1034232199
id_129,18.2208339761
id_130,4.34037804264
id_131,36.2044423633
id_132,14.2344512206
id_133,26.4834890023
id_134,23.6593067587
id_135,20.7805522592
id_136,10.2225829966
id_137,19.8355427275
id_138,77.4014988376
id_139,63.6377269597
id_140,27.2074437415
id_141,17.2194715608
id_142,25.026829411
id_143,8.34924564328
id_144,10.8085566834
id_145,10.6305562881
id_146,21.3855483442
id_147,7.65008214681
id_148,13.9856123895
id_149,17.0220930143
id_150,50.9932486955
id_151,21.7050127798
id_152,24.5307139613
id_153,15.6600910937
id_154,14.7035924016
id_155,27.7335518693
id_156,21.8566224448
id_157,34.1648720422
id_158,3.68610672521
id_159,19.9764915657
id_160,43.6817038139
id_161,18.7723455551
id_162,56.0326816175
id_163,19.4428597359
id_164,36.6320304389
id_165,24.4552683978
id_166,21.8061777297
id_167,1.31613225457
id_168,66.0859938646
id_169,18.3817831014
id_170,17.6971902039
id_171,67.8640075211
id_172,21.1742011218
id_173,2.57064208189
id_174,23.5087425683
id_175,2.55600016489
id_176,6.40255617719
id_177,18.8373419845
id_178,20.2720163524
id_179,21.1855745795
id_180,42.7336103895
id_181,27.3170347797
id_182,28.6814978355
id_183,12.5381438615
id_184,8.84720942949
id_185,41.2562701651
id_186,36.5787933225
id_187,33.1627508047
id_188,16.6072761604
id_189,21.7782011391
id_190,14.7707408985
id_191,14.9434575105
id_192,33.1364691161
id_193,77.2363873432
id_194,29.4315477668
id_195,11.6207365877
id_196,61.3437057313
id_197,15.1362028442
id_198,19.6970825607
id_199,23.5383382363
id_200,125.288421611
id_201,26.3549198959
id_202,57.9411629162
id_203,5.37757371415
id_204,62.5346557697
id_205,35.6247497993
id_206,17.1541345682
id_207,14.0313056508
id_208,64.2008150164
id_209,13.856571783
id_210,28.2019637667
id_211,72.2947230053
id_212,20.6258051236
id_213,115.858467765
id_214,39.9824758999
id_215,83.6728579484
id_216,92.6618474227
id_217,70.6637129484
id_218,28.8915390342
id_219,18.8906524364
id_220,31.8200603627
id_221,55.3366996628
id_222,28.7884542654
id_223,39.9678125682
id_224,43.6002820132
id_225,8.0278390989
id_226,4.00921614054
id_227,69.3961676533
id_228,28.3135474554
id_229,1.87945190152
id_230,40.4421759823
id_231,15.3759622145
id_232,21.8158924264
id_233,8.34507144124
id_234,11.9132647786
id_235,22.0753269054
id_236,12.7340602473
id_237,0.422360687162
id_238,21.4086054028
id_239,1.01211150587
